company,company_url,amount_usd_millions,amount_reported_millions,reported_currency,stage,lead_investor,announced,source,source_url,also_reported_by
Handl Health,https://insurtechdaily.io/company/handl-health/,14,14,USD,,,2026-02-26,citybiz,https://news.google.com/rss/articles/CBMiuwFBVV95cUxNZGlLUDIyNmMxd3ZiUDBleDVoUVZsZjNsMWotUWdRaXZhRzVfSTNKRVN0QVZFYXBDT1gzWlpqR0c5dnRKTVdaYVdHb3FST3JtRVZTYjNkSXZrdUxnaEh6bk9yWlV0TjYzYnRtXy1wS2s1dkZnSE43bHI4Qm1kT054TnpkbkpmNlFiNjVFQkdic20wb2N1Qlh1MlpOUDBIVlU4RFZKUzJZSTRlZE92WEl3aU9teWtZSDNGeDdZ?oc=5,
Harper,https://insurtechdaily.io/company/harper/,47,47,USD,,,2026-02-25,TechCrunch,https://news.google.com/rss/articles/CBMimAFBVV95cUxOTTRWWXdKUXVFejYxZi1PWEVMa0Y5ZmhueG52Y09iVnNBdzVxQlZsZHJ6Y05vNXlWWmE1elRyM1p6aVMxWV92a1ExTFVmZkl5eXl5N2Z4UjFlUGxKNnBqYTBxa2g3QVplanktbGZUaG9sSUlKYnRNdE9YTUstcC1NOGRTWTNWZFR2N256OWx1MkVxV2ZWMUxOUA?oc=5,FinTech Global; The Tech Buzz
General Magic,https://insurtechdaily.io/company/general-magic/,7.2,7.2,USD,Seed,,2026-02-25,FinTech Global,https://news.google.com/rss/articles/CBMijAFBVV95cUxOTFowYXNCVUNlQlZ0MzFFck9RRE1TTDRUSU9tOW41NWhfSWxzbVp1QWVXZjRKaXIxVWU4UDdtNUU5WUtfdElQU3h4dkxpb1VLMzR0Mk1BX3U4NGozd016R3U1dDZpZUl1TDlremVXVVhWZXM2eHdvXzREdGFSU01zclM5d3R6X20yUE5ITA?oc=5,StartupHub.ai
AutoConnexa,https://insurtechdaily.io/company/autoconnexa/,4.752,4.4,EUR,,,2026-02-24,Startupbusiness.it,https://news.google.com/rss/articles/CBMinwFBVV95cUxQU2N4QVdsakthZmFqZXFJNUtRMVJweEJCR0ZIRDJxQzNFcm11YndXaDNFSTNBejlwZjY2RHRscElHejA4b21lcXV4aWJrRXVzc3ZCQkxCWkNxb3dyc1liQVlIU2xTWHp4YmV3bndMVV9EelJMRDg4b0pwR0Fza2pza0pFblJPM3NmSWJWRzQ2bHJDM2p5aE92TmM2eXhHZ00?oc=5,
Qumis,https://insurtechdaily.io/company/qumis/,4.3,4.3,USD,Seed,,2026-02-20,Insurance Journal,https://news.google.com/rss/articles/CBMidkFVX3lxTFBxT3JtVTl1Q05IRDd3S19EZndsWTF2RG5DaTNsUGlDaFBsTW41eVJNN19UdFY3Si1vckVlNXEyQTZrNHFEQlJoZVdfTk5COVF3MFVxTm5mcXUxX281a0Q2NXJkampYeVRNdEsyYVVCblBMT2VHMEE?oc=5,FinTech Global; The Business Journals
mea,https://insurtechdaily.io/company/mea/,50,50,USD,Growth,SEP,2026-02-17,FinTech Global,https://news.google.com/rss/articles/CBMilwFBVV95cUxPR1VsdDVxUGhBeHdNWlIyVXBmQXBoVm5QQ2pDZTlEWkNEei11UTIyV3pxUFJpa3J2bTRlUER2WGY5VzBobEtKMTNpX2xHeDVHMTZqVzg1MkxvZXZkbDVPWVNmQVFvWG9TSi1LVC1zUjBSblFDS0tUYWtBOFA1UXZzYXJtdVNxWUlldDJ3YVNaeGpzaF94YVhB?oc=5,theinsurer.com; Business Wire; Pulse 2.0; Reinsurance News; Silicon Republic
ScyAI,https://insurtechdaily.io/company/scyai/,2.16,2,EUR,,,2026-02-13,EU-Startups,https://news.google.com/rss/articles/CBMi2wFBVV95cUxPT2JXQl9YcnNIYkxac0lfQ003X2RCeTY2amM2OTg1S2NjWkJteFBYMlFVY2xjZm15eDZaenQ0RE5yYV9zX1M3aTlNWGlfTVFzcXhOV2JrVnNuUl9BWDhHLTJCNE9EUHUwbVhfc1E5eGNPbEhSRWdBbFdWQkZxQWRFZ3NuRnNfVGYzOVdsclNEQU9hRFNZOHcyUnpCLTlpckYtRXNnMzJxSjNwVzZCRFBOOXlzbHVibFBrRkloSC1YemZjekxBNXh5aXZUNDhiTXBvRE9NRVM1YWxhMFE?oc=5,
,,45,45,USD,,,2026-02-12,The Business Journals,https://news.google.com/rss/articles/CBMipgFBVV95cUxNczQ2cHlaWHprcmhjY2ZZZW5HbmwtMXlDZzhfNWxRMjRwS09IZmR6U3Z5WHF6RnZDbVdBc1c4Mm1CQkpfZ1pBMDFXbHpfQ25JekhHeWNEalBuZFRPSVI5c3NqSWdJQVJ1LWhlYjVfLU13RkNaT0VndVlzR0hnUnVrR0h3Qm1Fc0VDeEhaZG1Ba2hvZGlZN1NDWXVjVG5vNEQtU2d0QTVn?oc=5,
Lassie,https://insurtechdaily.io/company/lassie/,75,75,USD,Series C,,2026-02-11,Sifted,https://news.google.com/rss/articles/CBMigAFBVV95cUxPd3FqNEVtUUxZRDZmX3RtUWpxb2JBUVdHR1cySTUwY2ItX21saUNZWkJUWEMxUGNMTU42YWVEeUlxZy0xS3pDRjdNM2lEcXFyVUtkZkpqMzdIQXhzRFNUZ3MtT2kzcHdGc3NLbHpBWmR1MTFNU3pVQ3VJZVByZTRLag?oc=5,Silicon Republic; Insurance Nerds; EU-Startups; Tech Funding News
Equal Parts,https://insurtechdaily.io/company/equal-parts/,23,23,USD,Series A,,2026-02-11,FinTech Global,https://news.google.com/rss/articles/CBMilgFBVV95cUxOeFlQUEhMOVhyMDE1RHdfc2FCdUw2Q0VvSTVkajA5cGR1Z1ViaUQwczdqMFNBTDhheDN5aDdGSndiemZJWnZhTDJ2MWhsUHhzaDRwcjJIMldZbjlrRzBzS054c3BxUlNSSE1laVdxdHc2N3dIeThEMlM0ME01N25PTUVnd0hBY2paTWhackJPVUE2V0NkalE?oc=5,Business Wire
Advance,https://insurtechdaily.io/company/advance/,8.55,8.55,USD,,,2026-02-06,FinTech Global,https://news.google.com/rss/articles/CBMijgFBVV95cUxOY0lHclFmZXdNODh4ZkJpMlF0aVpfOXB4NjlrN2hIbGxKTFFIWFpULThzREdPX3BmeTRpRHhmcU5JVlgwM3VObkZWcXRrejRBY0pReTNrdmo1QnkxUWNaNS1kZ3c2dnNGZ2ROMUVNZl9keGRYaWd4RzhoZS1KMmVkV3AyUFIzdVNmTlUtaUNR?oc=5,
