acquirer,acquirer_url,target,target_url,seller,deal_type,price_disclosed,amount_usd_millions,amount_reported_millions,reported_currency,announced,source,source_url,also_reported_by
Beazley,https://insurtechdaily.io/company/beazley/,kWh Analytics,https://insurtechdaily.io/company/kwh-analytics/,,Acquisition,no,,,,2026-03-22,Digital Insurance,https://news.google.com/rss/articles/CBMikAFBVV95cUxOdDdvNDdKN05rdlJIa2RpZ2hKaWJFTGpBNDNQZEpKTGV6WF9JNXNKbERMSE83VjFpemtmLXRnbUlYSW4zdzkyYk42NUNlWjZ2TTVQcDBESzBHODVrNWM3VmtDeUQyOGlFb3Axb1dkc2E1cVAtN2dhZzZiT3lGMnk1QWlxZnFUdkMtSTNJOWI3R0U?oc=5,
iCapital,https://insurtechdaily.io/company/icapital/,Hexure,https://insurtechdaily.io/company/hexure/,,Acquisition,no,,,,2026-03-17,Business Wire,https://news.google.com/rss/articles/CBMi9wFBVV95cUxOT3JLQ1ZDbEo3Z2ZONVB2UV9Ic25KdkhNRjl2SlJuVGE3OTRnSEFLUlBpa08xYzZhVWVFZnBkMWtTRTdKT3NONmVlN3F0aVp5bk9HWnpfLXIyWjBOeUNXYUk4LS0zRjJMZlNGZ3J0b3ltUjFDTzB0TjlFeUpiTk1hQk9ZUW5uSG84MWhZY1llWTFOT1U1R095Z3AwdjFqUHRvdnVOalVocFE0RW5KMXRGS044cUJqVWFFV2ozNE40d0w2QTFURkcwVE9Dcy1NX211Z3kxbm5nRFVCQnpucktYU3dBdzVYNFQ0SGptaWJjM3NiTUVubnZZ?oc=5,Pulse 2.0; Wealth Management; Citywire
Gen,,Trellis,https://insurtechdaily.io/company/trellis/,,Acquisition,no,,,,2026-03-12,theinsurer.com,https://news.google.com/rss/articles/CBMitAFBVV95cUxPOHlkcFI4em0wb1hUVmhiQkJic0tteXg5elI3N3FYM1ZxRnU2eEdyclpZd3FIWFFkSFhhVnV3eVRpQm54Q2pSMW41WmJhNWk0TE5YTDVndWtweUlXcGZ1ejNjeW9ScmhoNUY2WWU4aVFaNXlFU3ZZZ3NxVVBCWi1KN0p5UTZkclh3clNCWmswUFNIMk1kbmhUTlNZaTk4MWNzal9Fa3hoZTc2Z3lkZW51MFdqVEE?oc=5,FinTech Global
Gen Digital,https://insurtechdaily.io/company/gen-digital/,Trellis,https://insurtechdaily.io/company/trellis/,,Acquisition,no,,,,2026-03-11,Pulse 2.0,https://news.google.com/rss/articles/CBMiugFBVV95cUxOTW05VXljUDQyMUJwOW1oc3M3TXJVeWRPb3JOeUFkTTBSRTJmZzZFQmJOaGxORi02Qmo1ZURWS1hZcElVWExONXNpcGd5Z1hBd01FTUxrY0JsRXJGNVp2TDl0X1g4dzZLOG1aVjVfSXI4Qm53UURNdUk3LTRLektyRU0yUmFaNVZWMkpsTWJpWVFLV3hEcDJNLW55WmQ5aWxHaGVYai1VbDNkSElWR1dWeDhpWVBuV3RyT1HSAb8BQVVfeXFMTURTbktYa0tzZkZ5SU5YZ1lyWmNtRmdMS2Q2RnhuZDdEQnA3VVcySF8ySXhUUUtKbDhUR2hoUHdibWZzdTFlengweXBMb2hKYS1NbS04cURmQkhEbF9kMmZHZlZHdGlzSGVGR1hlZFBUT1ZDUGk1WWdzeE5zOUJPZWhJRFJVeXY3MmZkSGFrd2ZFODRPT2ZaZUM0VFc0NTdTa0JBTko0dENualZGVV9DUDFGOW9UVnd3aHZUZUlSTzA?oc=5,
Wrisk,https://insurtechdaily.io/company/wrisk/,Atto,https://insurtechdaily.io/company/atto/,,Acquisition,no,,,,2026-02-17,FinTech Global,https://news.google.com/rss/articles/CBMinwFBVV95cUxQMHFIOGFNRmhfbWctcllMX0VzOWdyQWRidDFXa1lxLVlhLWVRbFVKZjdUTlhuVXA4ZlpILWhzMk5ER1VERGlIbGxkY1dNcjlqcW5NMEp4Y1Rxd3NHNjBIUHJGelV5MnYta05VNm1tNmVMQUNFRzZ6SDdyMFNfUURJa0ZzTWZqMjJIVThUVnRITHNFU18xVGRfaTdqQ0E0NGs?oc=5,FinTech Futures
Admiral,https://insurtechdaily.io/company/admiral/,Flock,https://insurtechdaily.io/company/flock/,,Acquisition,yes,101.6,80,GBP,2026-02-13,Life Insurance International,https://news.google.com/rss/articles/CBMifEFVX3lxTFBOV2lyOUxRTm1KN2RHbV9zSmYxci1aU3JKU3l2UHNIMWhJcFZKR0pHZUREZ1E4d0xid3p6elA4OXl1aklObkw4c3RZUGd3dGdsbVJBWFRIRUZnNUxSeFUyM3UzVHdKek5TN3JvcDhvdGlYTUIxQ183Qm5oSXc?oc=5,
Emerald,https://insurtechdaily.io/company/emerald/,Insurtech Insights,,,Acquisition,no,,,,2026-02-03,Beinsure,https://news.google.com/rss/articles/CBMib0FVX3lxTE1VSFBGTHlUVWJQQXBPZ0xRanhTN2NwZU9pWXN5WW5WY0FjN29LQl9BZ3dIMFdxdW9WX1Bsa2g2QzFaSzJEVG9fVVdwZHp4Y3pIMUVzSy1NMUJQSGxPMm84NXVHREVUZVJCQ2d0VTdKUQ?oc=5,Insurance Business
AUB,https://insurtechdaily.io/company/aub/,Prestige Insurance,https://insurtechdaily.io/company/prestige-insurance/,,Majority stake,no,,,,2026-01-30,Claims Media,https://news.google.com/rss/articles/CBMiuwFBVV95cUxONkxEeDFOTXBGOXRheVdlQ0I1aGhhRjFnZ2JqZnVzM3VMZHpRWnJ3Y0pqZk5wei1IV0JjTjdTOVRGcGdJODB0NmF2ZWxqYzVid0hyUnpoUTcwZTVZd1p6MndMMVUxTUItQjFUZlJGdk9paFpVcDFMWUVIZkQyTWt2dndCQzE2QWpBOG9LQnUybHM5NDgtRXQ0RUpySUtqakY0LVRGSjBKaWplVUtHbkpuX0J2T2EzOXNTbENz?oc=5,Reinsurance News
Helium Ventures,https://insurtechdaily.io/company/helium-ventures/,InsurGrid,https://insurtechdaily.io/company/insurgrid/,,Acquisition,no,,,,2026-01-23,FinTech Global,https://news.google.com/rss/articles/CBMimwFBVV95cUxQQkEweV9vOVRoelhmb2hjQjhFb1ZpM1ZiZmtnQlZ5ekpEbDFrVklQU0RWUDY5SFRvR3p3bHoydDc2UExGLTlpSnlMUUlHN01fbmg1TTloV3EzQ1d4a1FLVy05UjcxbWVHaDBZemJfZmJySWFNZGkyaTlUelowZXREeWtxSTZfdERoY3RkaEJsWENzOE1VY29fTkVETQ?oc=5,
ICE InsureTech,https://insurtechdaily.io/company/ice-insuretech/,Nordic Insurance Software,https://insurtechdaily.io/company/nordic-insurance-software/,,Merger,no,,,,2026-01-19,Health & Protection,https://news.google.com/rss/articles/CBMioAFBVV95cUxNajZUQXdGZU5mRlhNV1VOUnpzQzlDOEx3dS1XUTdueHQ4T0lubzM1TXlfRld5XzlBYklWb2tESG9zTzJMd0VaZm1DWjdVbVExMWpub0FDZWFuQXl0aHZfTXZ4MHkzOHllNU13NmlTWGE1cS1HblhYNGxBdXBVWExaOURVMWNORGZYWlhBbVdSNk1xenNENEhvMU1EN2NZcHNX0gGmAUFVX3lxTE9fVE5kdDdUS0R0TXRmY3czUXMzMnhteTBaQUw4NHVxVWNaOTNscmhESENoYk5mbng5UTZyY0I5MC1BdmJzaFdmUWtweEM3RDFrU2VuMEg2NkZIOUg5RTNZa3FQeFhCb1EyUkVpRUtrTnJXdzZhclQtZXZwUHlCZExqLW1VLTMySWtleHJaTFVpRzhKTk40czNzQUF1aDlEUkszQTViRVE?oc=5,
Munich Re,https://insurtechdaily.io/company/munich-re/,Next Insurance,https://insurtechdaily.io/company/next-insurance/,,Majority stake,yes,2600,2600,USD,2026-01-16,FinTech Global,https://news.google.com/rss/articles/CBMirAFBVV95cUxQU0FtejM3Y1pycFgzQWRlVWFCcFRYRDBMSUJBaTNIS1NUdmNzZHNPNGVnTmI2T2RGTVlwY3hNb0RaNDlLQmtkMlhKaGI1WVNOVlpTa2hYY1JaalduR1Q3RDk3aU5LVzc4OHVkZ0Nua0ZEeTdrVDNmLU8zNU1iN0lkYVFoVmlRUEpFOHBkNkJwQTVsblJCUEp0VGExUW8wdVNZR3hvUkFnaWliLUk4?oc=5,FinTech Global; calcalistech.com; Latham & Watkins LLP
Baldwin Insurance Group,https://insurtechdaily.io/company/baldwin-insurance-group/,Obie,https://insurtechdaily.io/company/obie/,,Acquisition,no,,,,2026-01-13,theinsurer.com,https://news.google.com/rss/articles/CBMiogFBVV95cUxPOHNDd1B3SHo2aFBBSm55SEJTbkhyWTFTaWN5WkJkT0JYV0lkM09xbkFXbHNoalJjQWhIU0ZPcmYxbHVVeDhybWZXQ3hEZkRILWZFZmZWMFdsYmYwOTV0OWZNQ05RaDFhTUNVMGxoMzY1ZU1GZzJmT2dXLXdydkphLTVDdnhILXhyOGJHSERFSG16dnBRelpGNGdDR3FmNlQzREE?oc=5,Business Wire
Acrisure,https://insurtechdaily.io/company/acrisure/,Efficient Insurance Solutions,https://insurtechdaily.io/company/efficient-insurance-solutions/,,Acquisition,no,,,,2026-01-09,Beinsure,https://news.google.com/rss/articles/CBMibEFVX3lxTE1jclhMcFg5YVQ0UmowY01JbXV0aTgwODZZT2RwSTZZWnBfZXdQVVY3SDJURU43XzBDS0VsU0gyZU9ZNWwwZndpS0NvM0hVNnV1cGkzMWFoR2szWE5jMExHcVJmbnl4ekw3VzJwOA?oc=5,Coverager
bolttech,https://insurtechdaily.io/company/bolttech/,mTek,https://insurtechdaily.io/company/mtek/,,Acquisition,no,,,,2025-12-04,FinTech Global,https://news.google.com/rss/articles/CBMif0FVX3lxTE9iS0pTY0M5VGd2WTN6amMwVlY3RXBERDhkbnBSNTBTQTBHM08xQ1U5RjE0V2o3OUtYRGJqS2stZi1qTGU4MEJkTEpZSTF3TG1JZ2QyWHVpOXp6Qlo1MDFBbjh1NVVPSnhxT085OVdDSk5XZ1U4RF9wTHh2eElUYzg?oc=5,
InsuranceDekho,https://insurtechdaily.io/company/insurancedekho/,RenewBuy,https://insurtechdaily.io/company/renewbuy/,,Merger,no,,,,2025-11-11,YourStory.com,https://news.google.com/rss/articles/CBMilAFBVV95cUxQZGVQc0FONk5jQUd5M0pSaTJ6WkdIRjBNeXQ1blBHQnY3VUwwN2E4d0FfVUVtSHBvME15Y1BjSkRZV3pObUhoczBWSEdzaTZJMjlYZkxpSm9xRjVyMFZUNXBxTEZyMmV5OG1Zcl9UY3FPU2IyOE9VMjEwUlBXUmgzRThkNUVjZW1oZ2JWT1B3dmdGSUJr?oc=5,Business Standard
FutureProof,https://insurtechdaily.io/company/futureproof/,Terrafuse AI,https://insurtechdaily.io/company/terrafuse-ai/,,Acquisition,no,,,,2025-11-10,Business Wire,https://news.google.com/rss/articles/CBMi7wFBVV95cUxQa09iZkRmMlZ3eGpTSjZzMzV4NXdNSEV6b29BREpDSFZUa05udm9PY3dpa2E3RUZWLXhyRmMwTnozTlV2UmlEak5lcFlRdUR4Q29Vc1otRzF4SXhMZ2dtUFhmWUY5Y1U1a1U4eHhyUFVHa0VJUUJHeDAwdTV3dkNkZ3ZqSFVnSkh4YTlldUYxQjkzN0xIWFVKNzFhdEdTa3NxOUhfeVpGNm1DNkhmMlFwaVp5OEJFeTFqekc5WUFKalF5NzNmTUJnSXJYbTNqZnBMbTg1N0ZvNEJ4NzRGVmktM21mWXJvWFU0WWZWVjlrZw?oc=5,
Artivatic Data Labs,https://insurtechdaily.io/company/artivatic-data-labs/,"Girnar Finserv, Girnar Insurance, D2C Consulting and RB Info Services",,,Merger,no,,,,2025-11-07,DD India,https://news.google.com/rss/articles/CBMi3wFBVV95cUxNeGdScVlWUG4tRFhBNk1vc0N4OEZDYUJueEVyYVZUZ0NXV1lTazNzUzRQUGxfVTMyanhaTkdhaXBRY1dXeGg5dFZRMWc2aHphLW1nQW9BbnpobFhTdGZwV3pEcjRuUkZaRlZLM0JfSDlCMXVfRG0tY2pLOFk5QlpSSDYtNTJxSUtVZ0M1b0k4M1BJc1pKUVpNNHNTMDF0WjRKbzNoaTl3NDBFX1pPVkt3QnNrWVNiMHN0ZGxoWXBfTzh0clktdW4xd0NyaWJ1cnN5ZG1ldFlocUd2c3MtQ2I0?oc=5,
NTT DATA,https://insurtechdaily.io/company/ntt-data/,Alchemy Technology Services,https://insurtechdaily.io/company/alchemy-technology-services/,,Acquisition,no,,,,2025-10-20,NTT Data,https://news.google.com/rss/articles/CBMi0gFBVV95cUxOUjJnZnB0YUtBbExreDAyUmxtQmp2amlVSmZCM3AyMHl5M2dEZTFRQkpUYl9vWHplLUY2Yk5zQ3I4aEktUUZUa3NrVVZvNUZydzBhdGZzWVI4RkpIZy1DOFAwd3lfV1g1U1VCRDRJM0d2YjVoaWNsWExacERTSTlZeHFmelNqZWgzQnFDS1NsUUY3aF9mWktzYm1VM3RlLWluNHFJQldjYVpPVko2RjlpSTZ6cFlyWG9SSTlQeFpJR3ByNTNnang3S3VTLU10bm41Smc?oc=5,
Brown & Brown,https://insurtechdaily.io/company/brown-and-brown/,All Med Pro Dental,https://insurtechdaily.io/company/all-med-pro-dental/,,Acquisition,no,,,,2025-10-07,Insurance Business,https://news.google.com/rss/articles/CBMi4wFBVV95cUxOS0tSMFBMTUZNR1JpUnZxRmk0U28yN0pPLUJ3UlFvcU9pMHdzSElIV0hWMVpLeEJaajNwZHcyN3U3MFBnWm9qUVpNYXRESzA0c1V2RkF2RWhMbWVaM2RtaW0zY3NpZDNoWnlnM29iU0xZbWRrazkzalJGRWdwdEJXQ0hPeVVXSnYyei1XS3p6cWY5LV9mLVFlOVpWSC0xV0ZneldLR3JJdEE2YlExQ0pKSk1pdGJEM0lSeEdaTThpcUcxUjMxV2JTcHE5STlGbTRIYnpoX1U2bDBicWttT1BTZ2FxVQ?oc=5,
The Phoenix,https://insurtechdaily.io/company/the-phoenix/,Wobi,https://insurtechdaily.io/company/wobi/,,Acquisition,no,,,,2025-10-05,Globes - Israel Business News,https://news.google.com/rss/articles/CBMipwFBVV95cUxOekcwaFA1bmZ0OFRucVhUcjB3SHNrWHRXdDZ1bjA2TTE4ZHZNYVJlbTZtcDFXMU12OUhXN1NvOFQ5Qi1UUGx6YzlyeFp2Ry1yRHNwN2U2RDNfZ0hZT3g2TVRXdXVpc281ejNrbjlkZzVtVXhGc29zb0EyRjkta0NZZnlCOXNiLWh6U3B5UGlscm9xRUxSN2tKTG5oQlVxXzMyaFZhYTIzbw?oc=5,
CVC,https://insurtechdaily.io/company/cvc/,Bamboo Insurance,https://insurtechdaily.io/company/bamboo-insurance/,White Mountains,Majority stake,no,,,,2025-10-03,Reinsurance News,https://news.google.com/rss/articles/CBMimAFBVV95cUxPaFZQSEFvdWtZYnhDMTFnM2FCSzlRZlpXeUxtbHAxNjdUYlljampieGsyQzlvQUdSeWpfRFR5UGxmeHFib0xVZ1BMb1lFbm1VTGdrbktCS0lySVJEY2xSVGxicS1ET2dWVi1vMmhjQ3pKY0JueGVNRTE0QWE0VENFdkxJN0FoRkdOVkdvUmdUQmtYWk4tVlpjQQ?oc=5,
Ambac,https://insurtechdaily.io/company/ambac/,ArmadaCare,https://insurtechdaily.io/company/armadacare/,,Acquisition,yes,250,250,USD,2025-10-01,FinTech Global,https://news.google.com/rss/articles/CBMipwFBVV95cUxNNjBpYUFfdU95R1RaZm90dTJGOFdtQThMZEZxbFNkYm40MkMxN0E1eXNIVEVpQkY4SHJ0Y0FoZWRVYnNHRVpGV3pFWFZQXzJCakYtSVZSanNsZUJwQnNKbGNjd3cwaWtFWFlfZlV5V3NkOEV0V2pDay10QUdfQ0ZJTjRCT3JTODRLVW5JWF9nRDlIMkc4R0lOcGpGRGxCY0JIZnFPTkZWRQ?oc=5,
Datavant,https://insurtechdaily.io/company/datavant/,DigitalOwl,https://insurtechdaily.io/company/digitalowl/,,Acquisition,no,,,,2025-09-25,Globes - Israel Business News,https://news.google.com/rss/articles/CBMingFBVV95cUxPM3ZNYm11cHAxaFBQWmZSZFB0d1lQTEg1MWJoa0ZlOGViUVRxR2E0SEVsT1pFWTllMEpVcEhUaWZiTlZiSGJ0OUlZR2xXSFhCNXhjcmJ3RE9OSjRCMUFEUzFVUm55aVExdVVhTXAtQ0Z4LWRXWTE2MFFTUjhXVG1oUzZuM01yMmhXRWJaTjJ4MkVfWUNyOGpUQlZIVGYtUQ?oc=5,
Santam,https://insurtechdaily.io/company/santam/,JaSure,https://insurtechdaily.io/company/jasure/,,Acquisition,no,,,,2025-09-15,Ventureburn,https://news.google.com/rss/articles/CBMijAFBVV95cUxNeERFM3o1OHBUY19sdVNpOUxMQjAyOXRDcUhwYzlkWXZIYmtkMDRhOE5ESzZ1X2RGOThPYUplN2hXaVBaZjVBWjdJd24zMk03SG9mOGtUTHVEUjYwclhXM1JWb1IwZEplZWxscDRpRFRmRWM3X2VCY1EzeEtrei02Nng5b1lJTnV3ZnpKZdIBjAFBVV95cUxNeERFM3o1OHBUY19sdVNpOUxMQjAyOXRDcUhwYzlkWXZIYmtkMDRhOE5ESzZ1X2RGOThPYUplN2hXaVBaZjVBWjdJd24zMk03SG9mOGtUTHVEUjYwclhXM1JWb1IwZEplZWxscDRpRFRmRWM3X2VCY1EzeEtrei02Nng5b1lJTnV3ZnpKZQ?oc=5,
Applied Systems,https://insurtechdaily.io/company/applied-systems/,Cytora,https://insurtechdaily.io/company/cytora/,,Acquisition,no,,,,2025-09-09,Built In Chicago,https://news.google.com/rss/articles/CBMiiwFBVV95cUxOazRyVTdrU2U1ZXJLS3MxSG1hakotRnFBNm5yT3BWclhVRFcwVmhBbTU5X0tLMHVQUERjeUNZMDBqdzlJYTJPaUxoeFFkc0FhLUZwQ1dTX2ZiTVdBbjhodjFQLWZmZVJ3SWRFWFI3U0FlWTg4MTU3enZPRGFPZ2lPcGRqc0hiUVJpTHow?oc=5,
Global Indemnity,https://insurtechdaily.io/company/global-indemnity/,Sayata,https://insurtechdaily.io/company/sayata/,,Acquisition,no,,,,2025-09-03,calcalistech.com,https://news.google.com/rss/articles/CBMiaEFVX3lxTE1iYUFDcTQwUE9hUXFZWUJkaWZOc3p1ODFwVS1PdGpoRXctaVp4ZjdsTmUyQzVCUEFINjZUTHo5Y05HaG9UeGNhMDUxWnJpT1pPYW9lVkRfTXVnZTRWS0lIMlRoNTg5d25G?oc=5,
CarTrawler,https://insurtechdaily.io/company/cartrawler/,Koala,https://insurtechdaily.io/company/koala/,,Acquisition,no,,,,2025-08-20,FinTech Global,https://news.google.com/rss/articles/CBMilwFBVV95cUxQSThwakFsVGNSeFh5LTcxUW0zRDcxd3dIOWZXOVd1bmJPenVaTzYzR0ZSbmd6OGh6SlB5UVlUcUhUaVZURVA5YkxLZm9JSEh6aGdUX3ZVbWxQSE94Mk1Oemwzdl9WX0hSVG8yMURfU0V2Nlp2elhQbW9vZjZHdkxRdEZEQVozZmpqc1dnV0VoVmt6UTFxQUtR?oc=5,Coverager; PhocusWire; Travolution; RTE.ie
eazy Insurance,https://insurtechdaily.io/company/eazy-insurance/,G&C General,https://insurtechdaily.io/company/g-and-c-general/,,Acquisition,no,,,,2025-08-15,Insurance Business,https://news.google.com/rss/articles/CBMi6wFBVV95cUxNSk84MWloaHN2NXlDUFVIc09XcFRFYXVRQXU1ZER1bG5hYVVQTU1ScXMtVnJRZ3k3VEluZlQ3YURoVGlxcm5RMUxIYUNtT2NwTjlOREhqUG1fRENtZk9XYWlhUEJOaTdDNjkzVHB6QUw1WEFlMkdhTmp4SnZlZzNBb3phLTJhUjNDc0N1bWdMZGtpU2NISWFQenNZTmw3S01YZUhGYTFfeTFfSUd5a2lqcEp3akFTYTQ0blJPZHBZTEo0Wm42dUdDcGR6SUdFRk5namRHX3pCS1VpZFBaTXJ2ei1mZkppOGtkUmM4?oc=5,
AXA,https://insurtechdaily.io/company/axa/,Prima Assicurazioni,https://insurtechdaily.io/company/prima-assicurazioni/,,Majority stake,no,,,,2025-08-04,EU-Startups,https://news.google.com/rss/articles/CBMizAFBVV95cUxPSTROS3dCcXV4dzk4T0NmMWpjclBLSG00YXNlNV8waFVUcTg5eC1aemVYTDNEaFRQSUtUVVVnM0lfU0pSNUdKUTBaTVZoNWFMUDRab2dyNmxrZFNaMS1TbE1BNmZjQ2JOZkphSHpTeWhLVDFjSFEyRFBNS3hPRTNYUXhzd3F4T2N0RUhHWlVSXzBOUFk2emluSmpOYTVRdEZvY2xYZmVWaXR6TGdRa2NTanlrT1lkUGZzNXlDR1hfTFMtSzdrWEpnbTFOaTM?oc=5,Silicon Canals
Artivatic Insurtech,https://insurtechdaily.io/company/artivatic-insurtech/,Girnar and RenewBuy units,,,Merger,no,,,,2025-07-18,HDFC Sky,https://news.google.com/rss/articles/CBMiqAFBVV95cUxNTk02NUVtNzBZcTM4UGROaktvVGpCWFc5Y0VEb0Fxc0FfNnpaS3FnN2dOQWMzdXVINXFOWEx1U1JHU2gzVTFtYW0walBzV1dfYUN6RGFQbm54QXZ0RTRtOVBLVl9iQVNvai05R3h0XzdiU3hDcGlsNUZEYkg4cE82bU5ONlh1bnRJY0FyU09jMjQzMHp1VTk5cmNyaExLX1NXcUZUQjZfMTQ?oc=5,
Zurich,https://insurtechdaily.io/company/zurich/,BOXX,https://insurtechdaily.io/company/boxx/,,Acquisition,no,,,,2025-07-04,Insurance Business,https://news.google.com/rss/articles/CBMixgFBVV95cUxQMmFmMUdFczdXZ1lRU3hqZ1VYbHpNVmxfUF9WSXF4V0NpWDROZEdYSW5uaW5renJIRnoycVBlV0pKdVNidGkza2Y4dTJrRHgwZDR0djR3Y1RseUEyTVpFdHExc19ZMHpQRFpNZ2g1QkdIbklNZFB3Zk9pX01md0Z4X2ZEcG1ZaF9MZThrTlkza3pQX2JvNXNleFVmeFZrQzBiNWtPMno2LUNrTDJDQ3N2X2tVd1RHcUt2V3o0aURVcTA1eUtXMlE?oc=5,Insurance Journal
ERGO,https://insurtechdaily.io/company/ergo/,Next Insurance,https://insurtechdaily.io/company/next-insurance/,,Acquisition,no,,,,2025-07-01,Business Wire,https://news.google.com/rss/articles/CBMiwAFBVV95cUxOSy1UeFNjM2p0N2owTC00UjRvRi0zZHZFLXNvMTNHbHpaR3NHc1RpcHFOdzY0alk2WEMwOVRJZDhlQ0VaTFJ1OS1rTjQxc2RYUk5KdFZnUUYwTy1UamotTjZPbGJhTVpoX1ljeEtiR0FscFBzT2E3M1RSeWdHWHFzalZNNUJpSVdGaW9JUnd1YnFuYnJEYXFWNUJ4LTA0VGNxbFNlY2MxM3NnQW9RcGpxQWc0NzFNbUhSb01nMFItRUQ?oc=5,Insurance Journal
Equal Parts,https://insurtechdaily.io/company/equal-parts/,Assurely,https://insurtechdaily.io/company/assurely/,,Acquisition,no,,,,2025-06-26,theinsurer.com,https://news.google.com/rss/articles/CBMiqgFBVV95cUxOZ2lNcUtiR1A4NFdXRTk1UTYzaGRsQ0lNNHg2R3FOM0ZtN1czcGtwQU55dEljOTF4WERBU0RJdWl5LWotNDdGTjdfbFNGUTVXM1hWbEYwMWF2am1XNnNsaTE5cmlSVEJGWGNrTmpScXExeHVjX1ozOHRrV2xNYVEwQllHd1V6MTdsWXpSNUR5Ukk3Tk5BLW9rWnNQNjZ1NnAwQWVoT0Nuam90dw?oc=5,
Nearmap,https://insurtechdaily.io/company/nearmap/,itel,https://insurtechdaily.io/company/itel/,,Acquisition,yes,1300,1300,USD,2025-05-26,Reuters,https://news.google.com/rss/articles/CBMisgFBVV95cUxPaFdsQmI3Y09LaFNsUWpJekR4bExjUTZhU2ZxcXNEX0JzQ1VCbC1kNG42S1BKOWdiVXZNcFFieWtielJhNmFTc0xyRFBjWnpVdmczOWw4ZDlZbnVfcWR3OFdBWEdWZkcyZEp1djY0aEE5Z2o5QzNqdW93RGcyaEREbERYMVJiZWRDZDJTcm9IOTYybV9tS1VmYTk2a0JVWjhIVGpiZ2VGZGNTSG9HZU5OczFB?oc=5,Reuters
J.C. Flowers,https://insurtechdaily.io/company/j-c-flowers/,wefox's Italian businesses,,wefox,Asset purchase,no,,,,2025-05-14,Insurance Journal,https://news.google.com/rss/articles/CBMifkFVX3lxTFBMOURxcEJNZlJmdGxSR2ZtVk5kVXYzclRzZkhBTVItSGg3LUZiaGM5UHFzU0FqUzBnMHZ0YjlhazhZWWhJYjc2Z3FhN19lSlFYREd1UDNWZWd6TU9oZE1hQzZnSzQ5bkw2aEFDb0JOUllJUGRBZjVDQWh3S0lfUQ?oc=5,
Pliant,https://insurtechdaily.io/company/pliant/,Hi.health,https://insurtechdaily.io/company/hi-health/,,Acquisition,no,,,,2025-04-17,PYMNTS.com,https://news.google.com/rss/articles/CBMitgFBVV95cUxOeEZzdVZwTTFvUVptZWlUMDhtZWtuZU9Uc01SbUVfTXVWY1JQYTJzZGJBakNJRXFmM1ZzUUVGMlktSFAzSEdlZlA0Y0JkSHpMTWhNMnNYMkNFSzdyNGVFRmxKOVFydVNfbnpNeDBuQ2t1UEd5eEtlLWQzalpZd09jWW9CejVpdmNRWGlUSkxCZjlHU3ZsdGVFUHo4dElkM1JVUmo3ODZBazRfR3pScmFsNEk3WFhodw?oc=5,
Ripe,https://insurtechdaily.io/company/ripe/,GJW,https://insurtechdaily.io/company/gjw/,,Acquisition,no,,,,2025-04-14,Insurance Business,https://news.google.com/rss/articles/CBMitgFBVV95cUxNanRzYzJzdEVhSmpUTS0xUW1sRWhVT25vOFk3Tm9lMWtiN0dlV3hhd2E5ZENONV83NUtKN2JoRW4zNU1wQVlXZmtqbUVoSk1OVklXRUtZbE9SNmxXMW91dlNlRlFTNGNjTDYzVXZwRUZYRHRTMS1PNUFqMkQ4LU1LYVkzb013TGdyOExpeEE4Zl9fdnk4RnlVRTljcHl2SllRWU5NbHV4dzhCOW51bTRtOU43QzFhdw?oc=5,
The Standard,https://insurtechdaily.io/company/the-standard/,Allstate's employer benefits business,,Allstate,Acquisition,yes,2000,2000,USD,2025-04-06,Digital Insurance,https://news.google.com/rss/articles/CBMikAFBVV95cUxQV182VGlaR20ybm9zNkp6YVN1akNUUGZOWGVqRDJrNmZMX21XWDJlNHNZWjd2aXluejVsOUdkZXNtbUdvOE1xcTFnb0VlOXU1bE4zd2NiU1U5aWVmX1JHeXBuNS11a3VnT2paSXlic05hUU4tYzVfeGNuRm85aWFfZ3F5TmxGa3lFVzg0dl85b2c?oc=5,
InsurTech Express,https://insurtechdaily.io/company/insurtech-express/,LDTC Life Underwriting Benchmarking Tool,,,Asset purchase,no,,,,2025-04-03,Newswire.com,https://news.google.com/rss/articles/CBMiqgFBVV95cUxQYlFIVVNPTHhwWkI2am16T3ZmT2tnMTJ4STVkbTZ5ZjRSZHYzMjN3aWFXcUJkdmJubS1qYUczbUg3a0pmV2d4Q2Jidm8yMTRUcjMxOHY2ejNBWkVCWTlGYnk5YzVnblBwZlBtM05VLVllbGo1ODdKcWJ2UGNOUnp5WGR1N0xsc3NFNE5rZXgxeUgxRnZaVEItYVRFaXRYYWRIcUtrMHI0c1VfZw?oc=5,
Vouch,https://insurtechdaily.io/company/vouch/,StartSure,https://insurtechdaily.io/company/startsure/,,Acquisition,no,,,,2025-02-13,PR Newswire,https://news.google.com/rss/articles/CBMihgJBVV95cUxOeFV0S2FUZERMQWl1WkRxZjNDNzZuUGsweWtYTUxLaXhRN21aeGN3UE05bWZxTUFjTG9RS1lQV2pGSG5EMTBaazZwY19wTGRFTlBsUmxMOUlNWGZ5cGJFeDI5OTBPalpGaTlxckNDUGl0UHRSbjR4d3BEZWlFaUFQYThtYWluMmt0N3ByZGtZM2dQc2sxbHNVR3RBY2t0LVZzemhkaXhlMnpxcjdlQVd3NzFlUmdoV2d2UF9uZzF6ZFl3akRVNFN6RmdmMXJJRk0wOVh4Zm1BaHhoWVdiSVBxWjJOUGhXbmg5YS1KYVFoLTRXQ1lVNGZDSGZ0MFRpWXFOUjNGbHV3?oc=5,
