acquirer,acquirer_url,target,target_url,seller,deal_type,price_disclosed,amount_usd_millions,amount_reported_millions,reported_currency,announced,source,source_url,also_reported_by
Miller,https://insurtechdaily.io/company/miller/,Shields,https://insurtechdaily.io/company/shields/,,Acquisition,no,,,,2026-08-03,Reinsurance News,https://www.reinsurancene.ws/miller-completes-acquisition-of-dubai-based-reinsurance-broker-shields/,
Maybank,https://insurtechdaily.io/company/maybank/,Etiqa Insurance,https://insurtechdaily.io/company/etiqa-insurance/,Ageas,Majority stake,yes,1188,1100,EUR,2026-08-03,Coverager,https://coverager.com/ageas-sells-etiqa-stake-to-maybank-for-e1-1-billion/,
Inszone Insurance Services,https://insurtechdaily.io/company/inszone-insurance-services/,Advice Insurance Agency,https://insurtechdaily.io/company/advice-insurance-agency/,,Acquisition,no,,,,2026-08-02,Insurance Business,https://www.insurancebusinessmag.com/us/news/mergers-acquisitions/inszone-insurance-services-acquires-advice-insurance-agency-to-expand-personal-auto-offerings-584596.aspx,
Majesco,https://insurtechdaily.io/company/majesco/,Vitech,https://insurtechdaily.io/company/vitech/,,Acquisition,no,,,,2026-07-30,Insurtech Insights,https://www.insurtechinsights.com/majesco-acquires-vitech-to-expand-ai-powered-insurance-and-retirement-technology-capabilities/,Pulse 2.0; pehub.com
CIAB,https://insurtechdaily.io/company/ciab/,PriSim's Insurance Industry Training Program Suite,,PriSim,Asset purchase,no,,,,2026-07-30,Insurance Business,https://www.insurancebusinessmag.com/us/news/mergers-acquisitions/ciab-acquires-prisims-insurance-industry-training-program-suite-584244.aspx,
Inszone Insurance Services,https://insurtechdaily.io/company/inszone-insurance-services/,Progress Brokerage,,,Acquisition,no,,,,2026-07-29,Insurance Journal,https://www.insurancejournal.com/news/east/2026/07/29/879615.htm,
Trucordia,https://insurtechdaily.io/company/trucordia/,Dominion Insurance Services,https://insurtechdaily.io/company/dominion-insurance-services/,,Asset purchase,no,,,,2026-07-29,Coverager,https://coverager.com/trucordia-acquires-the-assets-of-dominion-insurance-services/,
Tiptree,https://insurtechdaily.io/company/tiptree/,Universal Shield Insurance Group,https://insurtechdaily.io/company/universal-shield-insurance-group/,,Acquisition,no,,,,2026-07-29,Coverager,https://coverager.com/tiptree-to-acquire-universal-shield-insurance-group/,
Verisk,https://insurtechdaily.io/company/verisk/,McKenzie Intelligence Services,https://insurtechdaily.io/company/mckenzie-intelligence-services/,,Acquisition,no,,,,2026-07-29,Insurtech Insights,https://www.insurtechinsights.com/verisk-acquires-mckenzie-intelligence-services-to-strengthen-catastrophe-analytics/,Reinsurance News
Relation Insurance Services,https://insurtechdaily.io/company/relation-insurance-services/,Mid-State Insurance,https://insurtechdaily.io/company/mid-state-insurance/,,Acquisition,no,,,,2026-07-29,Insurance Journal,https://www.insurancejournal.com/news/midwest/2026/07/29/879559.htm,Insurance Business
